"summerhit","song","lodness","tempo",""
"0","Beautiful Girls","-6.075","130.009",""
"0","Beggin'","-6.173","108.026",""
"0","Barbie Girl","-4.363","105.04",""
"0","It Must Have Been Love","-6.655","80.609",""
"0","Eres un canalla","-5.176","189.804",""
"0","Hello Buddy","-5.423","120.966",""
"0","Sunset Boulevard","-6.057","126.341",""
"0","Bonito","-6.057","126.341",""
"0","Volverá","-6.668","118.01",""
"0","Volverá","-6.668","118.01",""
"0","Carbón y ramas secas","-3.501","124.961",""
"0","Tiempo feliz","-8.594","93.544",""
"0","Estrella polar","-3.957","126.968",""
"0","Diálogo","-6.71","116.363",""
"0","Demasiado corazón (Too Much Heart)","-13.645","102.095",""
"0","It's a Sin","-5.916","127.153",""
"0","En la selva","-5.251","109.957",""
"0","Ciega, sordomuda","-5.843","149.963",""
"0","Mr. Jones","-6.582","141.606",""
"0","Que la detengan","-6.502","126.012",""
"0","Por verte feliz","-7.118","97.005",""
"0","Sgt. Pepper's Lonely Hearts Club Band","-9.558","205.171",""
"0","Camina y ven","-3.859","130.046",""
"0","Oh Lord, Why Lord","-8.741","82.678",""
"0","El mismo sol (Under the Same Sun)","-4.54","120.04",""
"0","Dos corazones y un destino","-7.17","122.57",""
"0","The Nights","-5.29","125.984",""
"0","Un violinista en tu tejado","-6.283","156.388",""
"0","Que te quería","-5.046","142.807",""
"0","When the Going Gets Tough, the Tough get going","-4.447","122.03",""
"0","No, no, no","-3.928","93.976",""
"0","No","-3.928","93.976",""
"0","No","-3.928","93.976",""
"0","Fuego en el fuego","-5.539","154.694",""
"0","Desnúdate","-5.985","130.043",""
"0","Todo irá bien","-3.923","97.991",""
"0","Baby Jump","-12.691","129.035",""
"0","Tanto","-5.132","140.039",""
"0","Tanto","-5.132","140.039",""
"0","Scotland the Brave","-10.555","179.986",""
"0","All Right","-5.225","132.752",""
"0","All Right","-5.225","132.752",""
"0","Camino Soria","-14.255","111.664",""
"0","Flor de lis","-7.521","98.791",""
"0","A un minuto de ti","-9.01","150.377",""
"0","Light It Up","-3.782","107.991",""
"0","Fallin'","-7.519","95.982",""
"0","Great Balls of Fire","-7.559","159.661",""
"0","I Can Help","-9.07","125.313",""
"0","I Wanna Go","-7.402","103.039",""
"0","Soul Finger","-15","115.845",""
"0","Lady Blue","-5.613","104.029",""
"0","Déjame","-4.448","92.994",""
"0","Send me an Angel","-11.601","104.668",""
"0","Adiós tristezas","-12.967","91.317",""
"0","Tu enemigo","-4.104","89.918",""
"0","Baila (Sexy Thing)","-3.835","120.024",""
"0","No te aguanto más","-6.607","119.129",""
"0","Amanda","-8.259","145.765",""
"0","El ritmo del mar","-3.921","123.97",""
"0","Flor de verano","-7.11","127.95",""
"1","Duele el corazón","-3.354","90.999",""
"0","No Problem","-4.377","164.006",""
"0","Living in Another World","-8.453","110.544",""
