label,song,loud,dance,energy,tempo,variance,live
"0","Stereo Hearts","-3.293","0.65","0.8","89.99","0.8","0.27"
"1","Tanto","-5.132","0.53","0.33","140.04","0.6","0.24"
"0","Tanto","-5.132","0.53","0.33","140.04","0.6","0.24"
"0","Where Have You Been","-7.374","0.65","0.36","128.01","0.8","0.21"
"0","Te he echado de menos","-6.751","0.69","0.52","140.94","0.68","0.2"
"0","Boys Will Be Boys","-4.784","0.73","0.56","132.98","0.76","0.16"
"0","Rayos de sol","-4.233","0.75","0.88","128.01","0.87","0.15"
"0","International Love","-3.18","0.84","0.83","94.06","0.69","0.13"
"0","Got 2 Luv U","-3.084","0.61","0.65","184.03","0.79","0.12"
"0","Cometas por el cielo","-7.42","0.5","0.19","141.92","0.58","0.12"
"1","Diamonds","-4.835","0.55","0.41","91.98","0.72","0.11"
"1","Stronger (What Doesn't Kill You)","-4.282","0.56","0.68","116.04","0.94","0.11"
"1","Set Fire to the Rain","-3.882","0.6","0.45","108","0.67","0.11"
"1","Te voy a esperar","-7.372","0.72","0.61","128.99","0.73","0.11"
"2","Call Me Maybe","-6.53","0.78","0.68","120.03","0.6","0.11"
"1","Someone Like You","-8.251","0.55","0.29","135.05","0.32","0.1"
"1","Someone Like You","-8.251","0.55","0.29","135.05","0.32","0.1"
"1","Somebody That I Used To Know","-6.927","0.86","0.75","129.06","0.52","0.1"
"0","Dance Again","-5.236","0.79","0.71","127.99","0.86","0.1"
"0","Euphoria","-3.646","0.82","0.89","126.03","0.81","0.09"
"0","Euphoria","-3.646","0.82","0.89","126.03","0.81","0.09"
"0","Drive By","-3.198","0.76","0.73","122.03","0.85","0.09"
"0","We Are Young","-5.576","0.38","0.74","184.09","0.64","0.08"
"0","Pan y mantequilla","-5.039","0.7","0.91","100","0.83","0.08"
"1","Yo te esperaré","-5.598","0.48","0.37","175.96","0.81","0.08"
"0","Hangover","-3.232","0.6","0.58","128.05","0.89","0.07"
"0","This Is Love","-8.371","0.78","0.75","122.23","0.55","0.05"
"0","Rain Over Me","-2.117","0.61","0.29","127.92","0.91","0.76"
"1","La niña que llora en tus fiestas","-6.793","0.6","0.55","135.98","0.65","0.62"
"1","The Time (Dirty Bit)","-7.751","0.83","0.51","127.99","0.79","0.61"
"0","Love the Way You Lie","-5.014","0.75","0.64","86.96","0.92","0.52"
"1","Give Me Everything","-3.206","0.67","0.53","129.02","0.94","0.3"
"2","Give Me Everything","-3.206","0.67","0.53","129.02","0.94","0.3"
"1","Born This Way","-5.075","0.59","0.5","123.92","0.83","0.3"
"1","Moves Like Jagger","-4.443","0.72","0.66","128.05","0.76","0.29"
"1","Moves Like Jagger","-4.443","0.72","0.66","128.05","0.76","0.29"
"0","Bailando por ahí","-5.167","0.73","0.97","129.97","0.73","0.26"
"0","Bailando por ahí","-5.167","0.73","0.97","129.97","0.73","0.26"
"1","Where Them Girls At","-3.078","0.67","0.55","129.88","0.88","0.26"
"0","I Wanna Go","-7.402","0.61","0.34","103.04","0.74","0.23"
"1","Party Rock Anthem","-4.136","0.75","0.39","130.02","0.74","0.22"
"0","¿No podíamos ser agua?","-6.731","0.68","0.89","135.91","0.7","0.21"
"0","Till the World Ends","-5.747","0.69","0.45","131.95","0.71","0.2"
"1","S&M","-5.007","0.76","0.78","127.97","0.67","0.2"
"1","Titanium","-3.657","0.6","0.27","126.06","0.8","0.15"
"1","Tonight (I'm Lovin' You)","-4.579","0.67","0.29","125.95","0.87","0.15"
"0","Tonight (I'm Lovin' You)","-4.579","0.67","0.29","125.95","0.87","0.15"
"0","Lead The Way","-5.988","0.69","0.51","128","0.72","0.15"
